4 MILK 
24 HARVEY MILK 
43 HARVEY MILK 
51 HARVEY MILK 
62 HARVEY MILK 
82 HARVEY MILK 
106 DIANNE FEINSTEIN 
125 DAN WHITE 
145 HARVEY MILK 
170 HARVEY MILK 
173 SCOTT SMITH 
177 HARVEY MILK 
183 SCOTT SMITH 
196 HARVEY MILK 
201 SCOTT SMITH 
206 HARVEY MILK 
214 SCOTT SMITH 
220 HARVEY MILK 
225 SCOTT SMITH 
231 HARVEY MILK 
234 SCOTT SMITH 
237 HARVEY MILK 
259 ISOLDE 
267 HARVEY MILK 
270 SCOTT SMITH 
273 HARVEY MILK 
279 SCOTT SMITH 
282 HARVEY MILK 
290 SCOTT SMITH 
293 HARVEY MILK 
296 SCOTT SMITH 
299 HARVEY MILK 
304 SCOTT SMITH 
321 HARVEY MILK 
324 SCOTT SMITH 
328 HARVEY MILK 
333 SCOTT SMITH 
338 HARVEY MILK 
351 HALF SERIOUSLY 
354 SCOTT SMITH 
363 HARVEY MILK 
386 HARVEY MILK 
422 SCOTT SMITH 
426 HARVEY MILK 
430 SCOTT SMITH 
451 HARVEY MILK 
455 SCOTT SMITH 
458 HARVEY 
463 SCOTT SMITH 
466 HARVEY MILK 
470 SCOTT SMITH 
473 HARVEY MILK 
486 HARVEY MILK 
497 HARVEY MILK 
526 HARVEY MILK 
536 SCOTT SMITH 
545 HARVEY MILK 
550 SCOTT SMITH 
570 HARVEY MILK 
581 SCOTT SMITH 
584 HARVEY MILK 
590 SCOTT SMITH 
598 HARVEY MILK 
605 SCOTT SMITH 
610 HARVEY MILK 
619 SCOTT SMITH 
633 HARVEY MILK 
650 HARVEY MILK 
671 HARVEY MILK 
702 HARVEY MILK 
719 HARVEY MILK 
728 DANNY NICCOLETTA 
732 HARVEY MILK 
774 SCOTT SMITH 
778 HARVEY MILK 
782 ALLAN BAIRD 
787 HARVEY MILK 
792 ALLAN BAIRD 
808 HARVEY MILK 
813 ALLAN BAIRD 
816 HARVEY MILK 
825 ALLAN BAIRD 
832 HARVEY MILK 
836 ALLAN BAIRD 
840 HARVEY MILK 
848 ALLAN BAIRD 
853 HARVEY MILK 
858 ALLAN BAIRD 
874 HARVEY MILK 
878 SCOTT SMITH 
881 HARVEY MILK 
884 SCOTT SMITH 
887 HARVEY MILK 
897 HARVEY MILK 
914 HARVEY MILK 
949 COP 
964 HARVEY MILK 
971 SCOTT SMITH 
975 HARVEY MILK 
977 HALF JOKING 
993 SCOTT SMITH 
999 HARVEY MILK 
1005 SCOTT SMITH 
1009 HARVEY MILK 
1014 SCOTT SMITH 
1018 HARVEY MILK 
1029 HARVEY MILK 
1086 HARVEY MILK 
1096 CLEVE JONES 
1098 LAUGHS 
1101 HARVEY MILK 
1104 CLEVE JONES 
1107 HARVEY MILK 
1121 CLEVE JONES 
1124 HARVEY MILK 
1128 CLEVE JONES 
1132 HARVEY MILK 
1136 CLEVE JONES 
1141 HARVEY MILK 
1146 CLEVE JONES 
1151 HARVEY MILK 
1157 CLEVE JONES 
1161 HARVEY MILK 
1164 CLEVE JONES 
1168 HARVEY MILK 
1185 CLEVE JONES 
1192 HARVEY MILK 
1199 HARVEY MILK 
1211 COP 
1217 COP CONT 
1222 HARVEY MILK 
1226 COP 
1229 HARVEY MILK 
1233 COP 
1248 HARVEY MILK 
1253 COP 
1269 JIM RIVALDO 
1276 SCOTT SMITH 
1280 HARVEY MILK 
1284 SCOTT SMITH 
1288 HARVEY MILK 
1291 SCOTT SMITH 
1309 HARVEY MILK 
1313 CUSTOMER 
1317 HARVEY MILK 
1328 THELMA 
1330 HARVEY 
1332 HARVEY MILK 
1337 DICK PABICH 
1341 JIM RIVALDO 
1344 DICK PABICH 
1347 THELMA 
1356 SCOTT SMITH 
1377 BEAT 
1380 HARVEY MILK 
1387 SCOTT SMITH 
1392 HARVEY MILK 
1400 SCOTT SMITH 
1403 HARVEY MILK 
1409 SCOTT SMITH 
1415 HARVEY MILK 
1425 HARVEY MILK 
1461 DAVID GOODSTEIN 
1472 HARVEY MILK 
1476 DAVID GOODSTEIN 
1480 RICK STOKES 
1482 DEFENSIVE 
1490 HARVEY MILK 
1506 DAVID GOODSTEIN 
1511 HARVEY MILK 
1514 DAVID GOODSTEIN 
1522 SCOTT SMITH 
1525 DAVID GOODSTEIN 
1531 HARVEY MILK 
1536 RICK STOKES 
1541 HARVEY MILK 
1548 RICK STOKES 
1551 HARVEY MILK 
1566 DAVID GOODSTEIN 
1571 HARVEY MILK 
1581 DAVID GOODSTEIN 
1589 HARVEY MILK 
1595 SCOTT SMITH 
1606 HARVEY MILK 
1628 HARVEY MILK 
1641 SCOTT SMITH 
1646 HARVEY MILK 
1661 SCOTT SMITH 
1665 HARVEY MILK 
1674 HARVEY MILK 
1710 HARVEY MILK 
1717 ART AGNOS 
1723 HARVEY MILK 
1734 ART AGNOS 
1740 HARVEY MILK 
1771 ART AGNOS 
1775 HARVEY MILK 
1781 ART AGNOS 
1783 LAUGHS 
1799 SCOTT SMITH 
1802 HARVEY 
1806 JIM RIVALDO 
1810 SCOTT SMITH 
1844 HARVEY 
1846 SCOTTIE 
1848 SCOTT 
1855 HARVEY 
1862 HARVEY MILK 
1890 HARVEY MILK 
1901 CLEVE JONES 
1904 HARVEY MILK 
1908 CLEVE JONES 
1911 HARVEY MILK 
1916 CLEVE JONES 
1920 HARVEY MILK 
1923 CLEVE JONES 
1926 HARVEY MILK 
1950 CLEVE JONES 
1953 HARVEY MILK 
1956 CLEVE JONES 
1967 HARVEY MILK 
1972 CLEVE JONES 
1975 HARVEY MILK 
1978 CLEVE JONES 
1980 BRAVADO 
1987 HARVEY MILK 
1991 CLEVE JONES 
1994 HARVEY MILK 
1998 CLEVE JONES 
2011 HARVEY MILK 
2021 HARVEY MILK 
2042 JIM RIVALDO 
2080 HARVEY MILK 
2106 TV REPORTER 
2114 RIOT 
2121 TV REPORTER 
2142 HARVEY MILK 
2145 BOY VOICE 
2149 HARVEY MILK 
2152 BOY VOICE 
2155 HARVEY MILK 
2158 BEAT 
2161 BOY VOICE 
2164 HARVEY MILK 
2168 BOY VOICE 
2172 HARVEY MILK 
2181 BOY VOICE 
2184 HARVEY MILK 
2210 BOY VOICE 
2213 HARVEY MILK 
2216 BOY VOICE 
2222 HARVEY MILK 
2230 DICK PABICH 
2246 CLEVE JONES 
2267 POLICEMAN 
2270 HARVEY MILK 
2273 POLICEMAN 
2276 HARVEY MILK 
2285 HARVEY MILK 
2295 CLEVE JONES 
2298 HARVEY MILK 
2310 DICK PABICH 
2314 HARVEY MILK 
2337 HARVEY MILK 
2374 HARVEY MILK 
2398 HARVEY MILK 
2418 HARVEY MILK 
2435 HARVEY MILK 
2457 DAN WHITE 
2474 HARVEY MILK 
2478 SCOTT SMITH 
2481 HARVEY MILK 
2488 SCOTT SMITH 
